,date,is_school_day,is_work_day
0,2024-08-01,0.0,1
1,2024-08-02,0.0,1
2,2024-08-03,0.0,0
3,2024-08-04,0.0,0
4,2024-08-05,0.0,1
5,2024-08-06,0.0,1
6,2024-08-07,0.17,1
7,2024-08-08,0.17,1
8,2024-08-09,0.17,1
9,2024-08-10,0.0,0
10,2024-08-11,0.0,0
11,2024-08-12,0.17,1
12,2024-08-13,0.32000000000000006,1
13,2024-08-14,0.41000000000000003,1
14,2024-08-15,0.41000000000000003,1
15,2024-08-16,0.41000000000000003,1
16,2024-08-17,0.0,0
17,2024-08-18,0.0,0
18,2024-08-19,0.41000000000000003,1
19,2024-08-20,1.0,1
20,2024-08-21,1.0,1
21,2024-08-22,1.0,1
22,2024-08-23,1.0,1
23,2024-08-24,0.0,0
24,2024-08-25,0.0,0
25,2024-08-26,1.0,1
26,2024-08-27,1.0,1
27,2024-08-28,1.0,1
28,2024-08-29,1.0,1
29,2024-08-30,1.0,1
30,2024-08-31,0.0,0
31,2024-09-01,0.0,0
32,2024-09-02,0.0,0
33,2024-09-03,1.0,1
34,2024-09-04,1.0,1
35,2024-09-05,1.0,1
36,2024-09-06,1.0,1
37,2024-09-07,0.0,0
38,2024-09-08,0.0,0
39,2024-09-09,1.0,1
40,2024-09-10,1.0,1
41,2024-09-11,1.0,1
42,2024-09-12,1.0,1
43,2024-09-13,1.0,1
44,2024-09-14,0.0,0
45,2024-09-15,0.0,0
46,2024-09-16,1.0,1
47,2024-09-17,1.0,1
48,2024-09-18,1.0,1
49,2024-09-19,1.0,1
50,2024-09-20,1.0,1
51,2024-09-21,0.0,0
52,2024-09-22,0.0,0
53,2024-09-23,1.0,1
54,2024-09-24,1.0,1
55,2024-09-25,1.0,1
56,2024-09-26,1.0,1
57,2024-09-27,1.0,1
58,2024-09-28,0.0,0
59,2024-09-29,0.0,0
60,2024-09-30,1.0,1
61,2024-10-01,1.0,1
62,2024-10-02,1.0,1
63,2024-10-03,0.36,1
64,2024-10-04,0.36,1
65,2024-10-05,0.0,0
66,2024-10-06,0.0,0
67,2024-10-07,1.0,1
68,2024-10-08,1.0,1
69,2024-10-09,1.0,1
70,2024-10-10,1.0,1
71,2024-10-11,0.9,1
72,2024-10-12,0.0,0
73,2024-10-13,0.0,0
74,2024-10-14,0.0,0
75,2024-10-15,0.74,1
76,2024-10-16,0.74,1
77,2024-10-17,0.74,1
78,2024-10-18,0.74,1
79,2024-10-19,0.0,0
80,2024-10-20,0.0,0
81,2024-10-21,1.0,1
82,2024-10-22,1.0,1
83,2024-10-23,1.0,1
84,2024-10-24,1.0,1
85,2024-10-25,1.0,1
86,2024-10-26,0.0,0
87,2024-10-27,0.0,0
88,2024-10-28,1.0,1
89,2024-10-29,1.0,1
90,2024-10-30,1.0,1
91,2024-10-31,1.0,1
92,2024-11-01,0.26,1
93,2024-11-02,0.0,0
94,2024-11-03,0.0,0
95,2024-11-04,1.0,1
96,2024-11-05,0.41000000000000003,1
97,2024-11-06,1.0,1
98,2024-11-07,1.0,1
99,2024-11-08,1.0,1
100,2024-11-09,0.0,0
101,2024-11-10,0.0,0
102,2024-11-11,0.91,0
103,2024-11-12,1.0,1
104,2024-11-13,1.0,1
105,2024-11-14,1.0,1
106,2024-11-15,1.0,1
107,2024-11-16,0.0,0
108,2024-11-17,0.0,0
109,2024-11-18,1.0,1
110,2024-11-19,1.0,1
111,2024-11-20,1.0,1
112,2024-11-21,1.0,1
113,2024-11-22,1.0,1
114,2024-11-23,0.0,0
115,2024-11-24,0.0,0
116,2024-11-25,0.0,1
117,2024-11-26,0.0,1
118,2024-11-27,0.0,1
119,2024-11-28,0.0,0
120,2024-11-29,0.0,1
121,2024-11-30,0.0,0
122,2024-12-01,0.0,0
123,2024-12-02,1.0,1
124,2024-12-03,1.0,1
125,2024-12-04,1.0,1
126,2024-12-05,1.0,1
127,2024-12-06,1.0,1
128,2024-12-07,0.0,0
129,2024-12-08,0.0,0
130,2024-12-09,1.0,1
131,2024-12-10,1.0,1
132,2024-12-11,1.0,1
133,2024-12-12,1.0,1
134,2024-12-13,1.0,1
135,2024-12-14,0.0,0
136,2024-12-15,0.0,0
137,2024-12-16,1.0,1
138,2024-12-17,1.0,1
139,2024-12-18,1.0,1
140,2024-12-19,1.0,1
141,2024-12-20,0.85,1
142,2024-12-21,0.0,0
143,2024-12-22,0.0,0
144,2024-12-23,0.0,1
145,2024-12-24,0.0,1
146,2024-12-25,0.0,0
147,2024-12-26,0.0,1
148,2024-12-27,0.0,1
149,2024-12-28,0.0,0
150,2024-12-29,0.0,0
151,2024-12-30,0.0,1
152,2024-12-31,0.0,1
153,2025-01-01,0.0,0
154,2025-01-02,0.0,1
155,2025-01-03,0.0,1
156,2025-01-04,0.0,0
157,2025-01-05,0.0,0
158,2025-01-06,0.0,1
159,2025-01-07,0.91,1
160,2025-01-08,1.0,1
161,2025-01-09,1.0,1
162,2025-01-10,1.0,1
163,2025-01-11,0.0,0
164,2025-01-12,0.0,0
165,2025-01-13,1.0,1
166,2025-01-14,1.0,1
167,2025-01-15,1.0,1
168,2025-01-16,1.0,1
169,2025-01-17,1.0,1
170,2025-01-18,0.0,0
171,2025-01-19,0.0,0
172,2025-01-20,0.0,0
173,2025-01-21,1.0,1
174,2025-01-22,1.0,1
175,2025-01-23,1.0,1
176,2025-01-24,1.0,1
177,2025-01-25,0.0,0
178,2025-01-26,0.0,0
179,2025-01-27,1.0,1
180,2025-01-28,1.0,1
181,2025-01-29,0.36,1
182,2025-01-30,1.0,1
183,2025-01-31,1.0,1
184,2025-02-01,0.0,0
185,2025-02-02,0.0,0
186,2025-02-03,1.0,1
187,2025-02-04,1.0,1
188,2025-02-05,1.0,1
189,2025-02-06,1.0,1
190,2025-02-07,1.0,1
191,2025-02-08,0.0,0
192,2025-02-09,0.0,0
193,2025-02-10,1.0,1
194,2025-02-11,1.0,1
195,2025-02-12,1.0,1
196,2025-02-13,1.0,1
197,2025-02-14,0.83,1
198,2025-02-15,0.0,0
199,2025-02-16,0.0,0
200,2025-02-17,0.0,0
201,2025-02-18,1.0,1
202,2025-02-19,1.0,1
203,2025-02-20,1.0,1
204,2025-02-21,1.0,1
205,2025-02-22,0.0,0
206,2025-02-23,0.0,0
207,2025-02-24,1.0,1
208,2025-02-25,1.0,1
209,2025-02-26,1.0,1
210,2025-02-27,1.0,1
211,2025-02-28,1.0,1
212,2025-03-01,0.0,0
213,2025-03-02,0.0,0
214,2025-03-03,1.0,1
215,2025-03-04,1.0,1
216,2025-03-05,1.0,1
217,2025-03-06,1.0,1
218,2025-03-07,1.0,1
219,2025-03-08,0.0,0
220,2025-03-09,0.0,0
221,2025-03-10,1.0,1
222,2025-03-11,1.0,1
223,2025-03-12,1.0,1
224,2025-03-13,1.0,1
225,2025-03-14,0.41000000000000003,1
226,2025-03-15,0.0,0
227,2025-03-16,0.0,0
228,2025-03-17,0.0,1
229,2025-03-18,0.0,1
230,2025-03-19,0.0,1
231,2025-03-20,0.0,1
232,2025-03-21,0.0,1
233,2025-03-22,0.0,0
234,2025-03-23,0.0,0
235,2025-03-24,1.0,1
236,2025-03-25,1.0,1
237,2025-03-26,1.0,1
238,2025-03-27,1.0,1
239,2025-03-28,1.0,1
240,2025-03-29,0.0,0
241,2025-03-30,0.0,0
242,2025-03-31,0.19,1
243,2025-04-01,1.0,1
244,2025-04-02,1.0,1
245,2025-04-03,1.0,1
246,2025-04-04,1.0,1
247,2025-04-05,0.0,0
248,2025-04-06,0.0,0
249,2025-04-07,1.0,1
250,2025-04-08,1.0,1
251,2025-04-09,1.0,1
252,2025-04-10,1.0,1
253,2025-04-11,1.0,1
254,2025-04-12,0.0,0
255,2025-04-13,0.0,0
256,2025-04-14,1.0,1
257,2025-04-15,1.0,1
258,2025-04-16,1.0,1
259,2025-04-17,1.0,1
260,2025-04-18,0.0,1
261,2025-04-19,0.0,0
262,2025-04-20,0.0,0
263,2025-04-21,0.83,1
264,2025-04-22,1.0,1
265,2025-04-23,1.0,1
266,2025-04-24,1.0,1
267,2025-04-25,1.0,1
268,2025-04-26,0.0,0
269,2025-04-27,0.0,0
270,2025-04-28,1.0,1
271,2025-04-29,1.0,1
272,2025-04-30,1.0,1
273,2025-05-01,1.0,1
274,2025-05-02,1.0,1
275,2025-05-03,0.0,0
276,2025-05-04,0.0,0
277,2025-05-05,1.0,1
278,2025-05-06,1.0,1
279,2025-05-07,1.0,1
280,2025-05-08,1.0,1
281,2025-05-09,1.0,1
282,2025-05-10,0.0,0
283,2025-05-11,0.0,0
284,2025-05-12,1.0,1
285,2025-05-13,1.0,1
286,2025-05-14,1.0,1
287,2025-05-15,1.0,1
288,2025-05-16,1.0,1
289,2025-05-17,0.0,0
290,2025-05-18,0.0,0
291,2025-05-19,1.0,1
292,2025-05-20,1.0,1
293,2025-05-21,1.0,1
294,2025-05-22,1.0,1
295,2025-05-23,0.6799999999999999,1
296,2025-05-24,0.0,0
297,2025-05-25,0.0,0
298,2025-05-26,0.0,0
299,2025-05-27,0.6799999999999999,1
300,2025-05-28,0.6799999999999999,1
301,2025-05-29,0.6799999999999999,1
302,2025-05-30,0.0,1
303,2025-05-31,0.0,0
